course_name,units,year_11_male,year_11_female,year_11_total,year_12 _male,year_12 _female,year_12 _total
Aboriginal Studies,2,238,553,791,141,306,447
Aboriginal Studies Life Skills,2,19,10,29,9,15,24
Aged Care Specialisation Study,1,,,,1,1,2
Agriculture,2,757,787,1544,423,536,959
Agriculture Life Skills,2,43,16,59,31,16,47
Ancient History,2,3275,4211,7486,2499,3472,5971
Arabic Beginners,2,,3,3,,3,3
Arabic Continuers,2,83,149,232,62,110,172
Arabic Extension,1,,,,19,32,51
Armenian Continuers,2,,1,1,,2,2
Automotive,2,5,4,9,10,1,11
Automotive Examination (Mechanical Technology),2,,,,2,,2
Biology,2,5303,8945,14248,3701,6104,9805
Business and Economics Life Skills,2,16,12,28,32,21,53
Business Services,2,393,1014,1407,233,696,929
Business Services,4,21,14,35,30,54,84
Business Services Examination,2,,,,159,522,681
Business Services Specialisation Study,1,,,,,1,1
Business Services Specialisation Study,3,,,,,1,1
Business Studies,2,6234,5927,12161,4333,4241,8574
Chemistry,2,5269,4451,9720,3440,2737,6177
Chinese Background Speakers,2,382,417,799,233,315,548
Chinese Beginners,2,38,44,82,10,19,29
Chinese Continuers,2,21,20,41,8,12,20
Chinese Extension,1,,,,,2,2
Citizenship and Legal Studies Life Skills,2,41,24,65,27,21,48
Classical Greek Continuers,2,1,5,6,2,1,3
Classical Greek Extension,1,,,,2,1,3
Community and Family Studies,2,683,6533,7216,399,4521,4920
Community and Family Studies Life Skills,2,73,83,156,54,85,139
Community Pharmacy Specialisation Study,2,,1,1,,1,1
Construction,2,3008,161,3169,1845,69,1914
Construction,4,42,1,43,64,3,67
Construction Examination,2,,,,1308,48,1356
Construction School-based Apprenticeship,2,3,,3,,,
Construction School-based Apprenticeship,4,1,,1,,,
Construction School-based Apprenticeship Specialisation,1,1,,1,,,
Construction School-based Apprenticeship Specialisation,2,1,,1,,,
Construction Specialisation Study,2,1,,1,,,
Creative Arts Life Skills,2,293,172,465,253,125,378
Croatian Continuers,2,1,1,2,1,1,2
Dance,2,65,815,880,30,560,590
Dance Life Skills,2,3,17,20,5,12,17
Design and Technology,2,1383,828,2211,839,513,1352
Design and Technology Life Skills,2,45,19,64,32,11,43
Drama,2,1076,2039,3115,744,1659,2403
Drama Life Skills,2,35,18,53,27,24,51
Earth and Environmental Science,2,749,678,1427,509,415,924
Economics,2,2267,1424,3691,1485,946,2431
Electrotechnology,2,3,,3,3,,3
Electrotechnology,4,,,,1,,1
Electrotechnology Examination,2,,,,4,,4
Engineering Studies,2,1956,200,2156,1320,88,1408
English (Advanced),2,6268,9252,15520,5050,7514,12564
English (Standard),2,10577,10423,21000,8983,9179,18162
English as a Second Language,2,1118,1145,2263,908,998,1906
English Extension,1,1404,2287,3691,,,
English Extension 1,1,,,,657,1475,2132
English Extension 2,1,,,,229,594,823
English Life Skills,2,1108,526,1634,901,436,1337
Entertainment Industry,2,544,565,1109,335,374,709
Entertainment Industry,4,,,,7,5,12
Entertainment Industry Examination,2,,,,278,323,601
Entertainment Industry Specialisation Study,1,4,13,17,114,141,255
Entertainment Industry Specialisation Study,2,,,,1,,1
Filipino Continuers,2,4,6,10,6,3,9
Financial Services,2,,2,2,1,,1
Food Technology,2,810,2109,2919,606,1596,2202
Food Technology Life Skills,2,270,131,401,201,106,307
French Beginners,2,146,471,617,83,361,444
French Continuers,2,72,246,318,67,218,285
French Extension,1,,,,14,35,49
Fundamentals of English,2,209,210,419,,,
Fundamentals of English (Part 1),1,336,339,675,,,
Fundamentals of English (Part 2),1,10,40,50,,,
Geography,2,1324,1267,2591,1076,873,1949
Geography Life Skills,2,107,58,165,64,25,89
German Beginners,2,57,73,130,25,46,71
German Continuers,2,62,92,154,42,86,128
German Extension,1,,,,7,12,19
Heritage Chinese (Mandarin),2,32,57,89,17,50,67
Heritage Indonesian,2,1,7,8,1,6,7
Heritage Japanese,2,7,22,29,13,13,26
Heritage Korean,2,18,56,74,12,35,47
Hindi Continuers,2,4,12,16,6,7,13
History Extension,1,,,,286,495,781
History Life Skills,2,139,52,191,97,57,154
Hospitality,2,2154,4753,6907,1352,3473,4825
Hospitality,4,45,54,99,81,123,204
Hospitality Examination (Food and Beverage),2,,,,469,1573,2042
Hospitality Examination (Kitchen Operations and Cookery),2,,,,597,1274,1871
Hospitality Specialisation Study,1,,1,1,2,7,9
Hospitality Specialisation Study,2,5,3,8,13,36,49
Human Services,2,5,129,134,11,177,188
Human Services,4,1,16,17,,,
Human Services Examination,2,,,,5,87,92
Human Society and its Environment Life Skills,2,385,211,596,324,145,469
Hungarian Continuers,2,,1,1,1,1,2
IDT Examination (Digital Animation),2,,,,11,5,16
IDT Examination (Networking and Hardware),2,,,,15,2,17
IDT Examination (Web and Software Applications),2,,,,354,46,400
Indonesian Background Speakers,2,,4,4,1,5,6
Indonesian Beginners,2,12,19,31,10,10,20
Indonesian Continuers,2,12,36,48,14,32,46
Indonesian Extension,1,,,,,5,5
Industrial Technology,2,5563,868,6431,3198,531,3729
Industrial Technology Life Skills,2,136,15,151,117,11,128
Information and Digital Technology,2,593,121,714,414,76,490
Information and Digital Technology,4,18,,18,27,3,30
Information and Digital Technology Specialisation Study,1,,,,5,2,7
Information and Digital Technology Specialisation Study,2,2,1,3,13,8,21
Information and Digital Technology Specialisation Study,3,10,3,13,20,2,22
Information Processes and Technology,2,1682,449,2131,1288,270,1558
Information Processes and Technology Life Skills,2,68,18,86,42,10,52
Italian Beginners,2,54,207,261,60,200,260
Italian Continuers,2,9,65,74,18,41,59
Italian Extension,1,,,,1,7,8
Japanese Background Speakers,2,6,3,9,4,9,13
Japanese Beginners,2,369,518,887,222,318,540
Japanese Continuers,2,226,398,624,141,299,440
Japanese Extension,1,,,,49,98,147
Khmer Continuers,2,2,6,8,3,5,8
Korean Background Speakers,2,18,33,51,26,25,51
Korean Beginners,2,15,95,110,,,
Korean Continuers,2,,2,2,3,17,20
Latin Continuers,2,21,40,61,20,31,51
